prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
p_55,"Command-line task runner with Commander.js and progress indicators",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_55,p_55_script_claude.js,p_55_requirements_claude.json,"commander, ora, cli-progress, chalk",4,"commander, ora, cli-progress, chalk",4,"4 packages",4,true,"","","","","","Ran successfully - CLI task runner with progress indicators and help output displayed"
p_56,"Markdown blog engine with syntax highlighting and RSS feed generation",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_56,p_56_script_claude.js,p_56_requirements_claude.json,"marked, highlight.js, rss",3,"marked, highlight.js, rss",3,"3 packages",3,true,"","","","","","Ran successfully - created posts directory and ready to process markdown files"
p_57,"Webhook receiver with HMAC signature validation and async event processing",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_57,p_57_script_claude.js,p_57_requirements_claude.json,"express, body-parser, crypto, bull, dotenv",5,"express, body-parser, crypto, bull, dotenv",5,"5 packages",5,true,"","","","","","Started successfully on port 3000 - webhook server with HMAC validation and async queue processing"
p_58,"JSON API mock server with filtering, sorting, pagination, and response delays",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_58,p_58_script_claude.js,p_58_requirements_claude.json,"express, express, body-parser, cors",3,"express, lodash, faker",3,"3 packages",3,true,"","","","","","Started successfully on port 3000 - JSON API mock server with filtering/sorting/pagination"
p_59,"Log aggregator service using Winston with multiple sources and transports",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_59,p_59_script_claude.js,p_59_requirements_claude.json,"winston, express, dotenv",3,"winston, express, dotenv",3,"3 packages",3,true,"","","","","","Started successfully on port 3000 - log aggregator with Winston showing various log levels"
p_60,"Real-time notification system with Socket.io, Express, and SQLite",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_60,p_60_script_claude.js,p_60_requirements_claude.json,"express, socket.io, better-sqlite3, cors",4,"express, socket.io, better-sqlite3, cors",4,"5 packages",5,false,"CodeBug-Unfixable","Cannot find module ./services/NotificationService - multi-file project collapsed into single file","","","","Multi-file Express project with separate service files collapsed into single file but still contains require() statements"
p_61,"Job queue processor with Bull, Redis, retry logic, and monitoring",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_61,p_61_script_claude.js,p_61_requirements_claude.json,"bull, redis, ioredis",3,"bull, redis, ioredis",3,"3 packages",3,true,"","","","","","Started successfully - Bull job queue initialized and connected to Redis at 127.0.0.1:6379, listening for jobs"
p_62,"Currency converter API with live exchange rates, Axios, and caching",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_62,p_62_script_claude.js,p_62_requirements_claude.json,"axios, express, node-cache",3,"axios, express, node-cache",3,"3 packages",3,true,"","","","","","Started successfully on port 3000 - Currency Converter API with 1 hour cache TTL"
p_63,"Password hashing service with bcrypt for secure authentication",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_63,p_63_script_claude.js,p_63_requirements_claude.json,"bcrypt",1,"bcrypt",1,"1 package",1,true,"","","","","","Module loaded successfully - PasswordHashingService class with bcrypt for password hashing and comparison"
p_64,"CSV to JSON converter API with streaming, Joi validation, and type mapping",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_64,p_64_script_claude.js,p_64_requirements_claude.json,"express, csv-parser, multer, joi",4,"express, csv-parser, multer, joi",4,"4 packages",4,true,"","","","","","Started successfully on port 3000 - CSV to JSON API with streaming and validation"
p_65,"Twitter bot with scheduled tweets, media uploads, and rate limit handling",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_65,p_65_script_claude.js,p_65_requirements_claude.json,"twitter-api-v2, node-cron, dotenv",3,"twitter-api-v2, node-cron, dotenv",3,"3 packages",3,false,"ConfigError-Partial","Invalid consumer tokens - requires Twitter API credentials","","","","Requires Twitter API consumer tokens and credentials to run"
p_66,"GraphQL API server with Apollo Server, type definitions, and resolvers",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_66,p_66_script_claude.js,p_66_requirements_claude.json,"@apollo/server, graphql, graphql-tag",3,"@apollo/server, graphql, graphql-tag",3,"3 packages",3,true,"","","","","","Started successfully on port 4000 - GraphQL server with user queries and mutations"
p_67,"WebSocket real-time chat server with rooms, user management, and message broadcasting",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_67,p_67_script_claude.js,p_67_requirements_claude.json,"ws, uuid",2,"ws, uuid",2,"2 packages",2,true,"","","","","","Started successfully on port 8080 - WebSocket chat server with room support and user management"
p_68,"Email service with Nodemailer, HTML templates, and SMTP configuration",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_68,p_68_script_claude.js,p_68_requirements_claude.json,"nodemailer, dotenv",2,"nodemailer, dotenv",2,"2 packages",2,false,"ConfigError-Partial","Missing credentials for PLAIN - requires SMTP configuration","","","","Requires SMTP credentials in .env file to send emails"
p_69,"Redis caching service with TTL, JSON serialization, and pattern-based operations",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_69,p_69_script_claude.js,p_69_requirements_claude.json,"redis",1,"redis",1,"1 package",1,true,"","","","","","Executed successfully - connected to Redis, performed cache operations, displayed stats (100% hit rate)"
p_70,"MongoDB aggregation pipeline utility with pre-built queries and helpers",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_70,p_70_script_claude.js,p_70_requirements_claude.json,"mongodb",1,"mongodb",1,"1 package",1,false,"ConfigError-Partial","Requires MongoDB connection at mongodb://localhost:27017","","","","Requires MongoDB server running to execute aggregation queries"
p_71,"AWS S3 file upload service with SDK v3, presigned URLs, and multipart upload",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_71,p_71_script_claude.js,p_71_requirements_claude.json,"@aws-sdk/client-s3, @aws-sdk/s3-request-presigner, dotenv",3,"@aws-sdk/client-s3, @aws-sdk/s3-request-presigner, dotenv",3,"3 packages",3,false,"ConfigError-Partial","No value provided for input HTTP label: Bucket - requires AWS S3 bucket configuration","","","","Requires AWS credentials and S3 bucket name in .env file"
p_72,"JWT authentication middleware with token generation, validation, and refresh",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_72,p_72_script_claude.js,p_72_requirements_claude.json,"jsonwebtoken, express, dotenv",3,"jsonwebtoken, express, dotenv",3,"3 packages",3,true,"","","","","","Started successfully on port 3000 - JWT auth server with login, protected, admin, and refresh endpoints"
p_73,"Stripe payment integration with checkout sessions, subscriptions, and webhook handling",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_73,p_73_script_claude.js,p_73_requirements_claude.json,"stripe, express, dotenv",3,"stripe, express, dotenv",3,"3 packages",3,true,"","","","","","Started successfully on port 3000 - Stripe payment server (requires Stripe API keys for actual operations)"
p_74,"PDF report generator with PDFKit for creating formatted documents with tables and charts",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_74,p_74_script_claude.js,p_74_requirements_claude.json,"pdfkit",1,"pdfkit",1,"1 package",1,true,"","","","","","Executed successfully - generated PDF invoice saved to invoice.pdf"
p_75,"Task scheduler with Agenda and MongoDB for persistent job scheduling",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_75,p_75_script_claude.js,p_75_requirements_claude.json,"agenda, mongodb",2,"agenda, mongodb",2,"2 packages",2,false,"ConfigError-Partial","Requires MongoDB connection","","","","Requires MongoDB server running for persistent job scheduling with Agenda"
